category,name,passed,blocking,observed,comparison,required,message,source
UPSTREAM,PHASE_13F_LIVE_READINESS,False,True,False,==,True,Phase 13F institutional live readiness remains blocked.,/Users/anmolkaur/Desktop/Solan-Arbitrage-Bot/research/institutional_promotion_gate/institutional_promotion_decision.json
DATA_SUFFICIENCY,INSTITUTIONAL_ROWS,False,True,0,>=,10000,Collect more institutional observations.,/Users/anmolkaur/Desktop/Solan-Arbitrage-Bot/research/institutional_promotion_gate/institutional_promotion_decision.json
DATA_SUFFICIENCY,INSTITUTIONAL_CYCLES,False,True,0,>=,100,Collect more complete institutional scanner cycles.,/Users/anmolkaur/Desktop/Solan-Arbitrage-Bot/research/institutional_promotion_gate/institutional_promotion_decision.json
DATA_SUFFICIENCY,PROFITABLE_OBSERVATIONS,False,True,0,>=,100,Collect more genuinely profitable observations.,/Users/anmolkaur/Desktop/Solan-Arbitrage-Bot/research/institutional_promotion_gate/institutional_promotion_decision.json
DATA_SUFFICIENCY,VERIFIED_LIVE_ROWS,False,True,0,>=,1000,Collect more verified-live observations.,/Users/anmolkaur/Desktop/Solan-Arbitrage-Bot/research/institutional_promotion_gate/institutional_promotion_decision.json
DATA_SUFFICIENCY,VERIFIED_LIVE_CYCLES,False,True,0,>=,20,Collect more verified-live scanner cycles.,/Users/anmolkaur/Desktop/Solan-Arbitrage-Bot/research/institutional_promotion_gate/institutional_promotion_decision.json
INDEPENDENCE,OUT_OF_SAMPLE_TRADES,False,True,0,>=,50,Collect more independent out-of-sample trades.,/Users/anmolkaur/Desktop/Solan-Arbitrage-Bot/research/institutional_promotion_gate/institutional_promotion_decision.json
SHADOW_EXECUTION,PHASE_14A_OPERATIONAL_GATE,False,True,False,==,True,Phase 14A operational shadow gate remains blocked.,/Users/anmolkaur/Desktop/Solan-Arbitrage-Bot/execution/shadow_results/shadow_execution_report.json
EDGE_DIAGNOSTICS,PHASE_14B_DIAGNOSTICS_GATE,False,True,False,==,True,Phase 14B edge diagnostics remain blocked.,/Users/anmolkaur/Desktop/Solan-Arbitrage-Bot/execution/shadow_diagnostics/shadow_execution_diagnostics_report.json
RESILIENCE,PHASE_14C_RESILIENCE_GATE,True,True,True,==,True,Phase 14C resilience validation must pass.,/Users/anmolkaur/Desktop/Solan-Arbitrage-Bot/execution/resilience_results/operational_resilience_report.json
SECURITY,PHASE_14D_SECURITY_GATE,False,True,False,==,True,Phase 14D security audit remains blocked.,/Users/anmolkaur/Desktop/Solan-Arbitrage-Bot/execution/live_readiness_audit/live_readiness_audit_report.json
POST_FILTER,FILTERED_SOURCE_TRADES,False,True,1,>=,3,Too few independent trades survive the execution-aware filter.,/Users/anmolkaur/Desktop/Solan-Arbitrage-Bot/execution/execution_aware_filter/execution_aware_report.json
POST_FILTER,FILTERED_PROFITABLE_CONFIRMATION_RATE,True,True,1.0,>=,0.6,Filtered profitable confirmation rate is below the gate.,/Users/anmolkaur/Desktop/Solan-Arbitrage-Bot/execution/execution_aware_filter/execution_aware_report.json
POST_FILTER,FILTERED_MEDIAN_REALIZED_PROFIT,True,True,0.021398250063543515,>=,0.0,Filtered median realized profit remains negative.,/Users/anmolkaur/Desktop/Solan-Arbitrage-Bot/execution/execution_aware_filter/execution_aware_report.json
POST_FILTER,FILTERED_PROFIT_CONCENTRATION,False,True,1.0,<=,0.6,Filtered profits remain too concentrated in one source trade.,/Users/anmolkaur/Desktop/Solan-Arbitrage-Bot/execution/execution_aware_filter/execution_aware_report.json
POST_FILTER,PHASE_14E_FILTER_GATE,False,True,False,==,True,Phase 14E execution-aware filter remains blocked.,/Users/anmolkaur/Desktop/Solan-Arbitrage-Bot/execution/execution_aware_filter/execution_aware_report.json
SAFETY,NO_LIVE_EXECUTION_STATE,True,True,0,==,0,An upstream report indicates live execution is enabled.,/Users/anmolkaur/Desktop/Solan-Arbitrage-Bot/execution/shadow_results/shadow_execution_report.json; /Users/anmolkaur/Desktop/Solan-Arbitrage-Bot/execution/live_readiness_audit/live_readiness_audit_report.json
