name,passed,blocking,observed,comparison,required,message
SHADOW_ATTEMPTS,True,True,500.0,>=,500.0,Enough shadow attempts must complete.
CONFIRMED_EXECUTIONS,True,True,463.0,>=,100.0,Enough shadow executions must confirm.
CONFIRMATION_RATE,True,True,0.926,>=,0.9,Shadow confirmation rate is below the operational gate.
STALE_QUOTE_RATE,True,True,0.0,<=,0.2,Stale-quote exposure exceeds the operational gate.
TOTAL_FAILURE_RATE,True,True,0.074,<=,0.15,Combined failed and missed execution rate is too high.
MEDIAN_REALIZED_PROFIT,False,True,-0.001570075545902452,>=,0.0,Median shadow realized profit is negative.
MAXIMUM_DRAWDOWN,True,True,0.0709807983952788,<=,10.0,Shadow equity drawdown exceeds the gate.
SOURCE_TRADE_COUNT,False,True,5.0,>=,30.0,Too few independent out-of-sample source trades.
PHASE_13D_PROMOTION,False,True,0.0,==,1.0,Phase 13D walk-forward promotion remains blocked.
PHASE_13E_ROBUSTNESS,True,True,1.0,==,1.0,Phase 13E robustness validation has not passed.
PHASE_13F_LIVE_READINESS,False,True,0.0,==,1.0,Phase 13F institutional live readiness remains blocked.
